#Keyword Types: 15
#Keyword Tokens: 887
#Search Hits: 0
1	85	+	112.22	0.013	мистер
2	37	+	47.97	0.0057	книга
3	371	+	46.19	0.0449	вы
4	34	+	43.74	0.0053	мисс
5	29	+	42.69	0.0045	газета
6	29	+	36.13	0.0045	школа
7	13	+	35.06	0.002	па
8	45	+	33.36	0.0069	русский
9	26	+	28.76	0.004	тысяча
10	17	+	27.41	0.0026	доллар
11	10	+	26.97	0.0016	лошадка
12	29	+	22.44	0.0045	ребенок
13	9	+	21.99	0.0014	идиот
14	107	+	20.49	0.0155	мочь
15	46	+	18.43	0.007	очень
