#Keyword Types: 24
#Keyword Tokens: 1538
#Search Hits: 0
1	119	+	124.23	0.0111	сэр
2	67	+	84.86	0.0063	господин
3	41	+	62.56	0.0039	ха
4	174	+	60.78	0.0158	ваш
5	31	+	49.64	0.0029	величество
6	569	+	44.79	0.0454	вы
7	22	+	41.11	0.0021	мэдам
8	219	+	32.41	0.0195	да
9	16	+	29.9	0.0015	sir
10	37	+	29.55	0.0035	страна
11	17	+	28.55	0.0016	хе
12	15	+	28.03	0.0014	грузинский
13	15	+	28.03	0.0014	король
14	18	+	27.58	0.0017	милорд
15	21	+	27.36	0.002	забастовка
16	37	+	26.25	0.0035	рабочий
17	14	+	26.16	0.0013	мадам
18	21	+	23.36	0.002	сообщать
19	13	+	23.17	0.0012	премьер
20	21	+	22.76	0.002	шеф
21	12	+	21.31	0.0011	танец
22	11	+	20.55	0.001	губернатор
23	11	+	20.55	0.001	иисус
24	17	+	19.78	0.0016	заместитель
